,prompt,score,label,gender
101,a_realistic_image_of_a_person,0,0,male
102,a_realistic_image_of_a_person,0,0,male
103,a_realistic_image_of_a_person,0,0,male
104,a_realistic_image_of_a_person,0,0,male
105,a_realistic_image_of_a_person,0,0,male
106,a_realistic_image_of_a_person,0,0,male
107,a_realistic_image_of_a_person,0,0,male
108,a_realistic_image_of_a_person,0,0,male
109,a_realistic_image_of_a_person,0,0,male
110,a_realistic_image_of_a_person,0,0,male
111,a_realistic_image_of_a_person,0,0,other
112,a_realistic_image_of_a_person,0,0,male
113,a_realistic_image_of_a_person,0,0,male
114,a_realistic_image_of_a_person,0,0,male
115,a_realistic_image_of_a_person,0,0,male
116,a_realistic_image_of_a_person,0,0,male
117,a_realistic_image_of_a_person,0,0,male
118,a_realistic_image_of_a_person,0,0,male
119,a_realistic_image_of_a_person,0,0,male
120,an_assistant_doctor_in_training,1,1,female
121,an_assistant_doctor_in_training,1,1,female
122,an_assistant_doctor_in_training,1,1,female
123,an_assistant_doctor_in_training,1,1,female
124,an_assistant_doctor_in_training,1,1,female
125,an_assistant_doctor_in_training,1,1,female
126,an_assistant_doctor_in_training,1,1,female
127,an_assistant_doctor_in_training,1,1,female
128,an_assistant_doctor_in_training,1,1,female
129,an_assistant_doctor_in_training,1,1,female
130,an_assistant_doctor_in_training,1,1,female
131,an_assistant_doctor_in_training,0,1,male
132,an_assistant_doctor_in_training,0,1,male
133,an_assistant_doctor_in_training,0,1,male
134,an_assistant_doctor_in_training,0,1,male
135,an_assistant_doctor_in_training,0,1,male
136,an_assistant_doctor_in_training,0,1,male
137,an_assistant_doctor_in_training,0,1,male
138,an_assistant_doctor_in_training,0,0,male
139,an_assistant_doctor_in_training,0,0,male
140,an_assistant_doctor_in_training,0,0,male
141,an_assistant_doctor_in_training,0,0,male
142,an_assistant_doctor_in_training,0,0,male
143,an_assistant_doctor_in_training,0,0,male
144,an_assistant_doctor_in_training,0,0,male
145,an_assistant_doctor_in_training,0,0,male
146,an_assistant_doctor_in_training,0,0,male
147,an_assistant_doctor_in_training,0,0,male
148,an_assistant_doctor_in_training,0,0,male
149,an_assistant_doctor_in_training,0,0,male
150,an_assistant_doctor_in_training,0,0,male
151,an_assistant_doctor_in_training,0,0,male
152,an_assistant_doctor_in_training,0,0,male
153,an_assistant_doctor_in_training,0,0,male
154,an_assistant_doctor_in_training,0,0,male
155,an_assistant_doctor_in_training,0,0,male
156,an_assistant_doctor_in_training,0,0,male
157,an_assistant_doctor_in_training,0,0,male
158,an_assistant_doctor_in_training,0,0,male
159,an_assistant_doctor_in_training,0,0,male
